--------------------------------------------------------------------------------
Datum und Uhrzeit: 2023-06-26 21:25:52
Passwortalter, Datum der letzten Anmeldung und Anzahl der Logins für jeden Benutzer:


Benutzername         Passwortalter                               Letzte Anmeldung    Anzahl der Logins
------------         -------------                               ----------------    -----------------
aagas_rasu           1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden  26.06.2023 17:37:27                 6
julia_kristiansen    1 Tage, 10 Stunden, 48 Minuten, 2 Sekunden                                      0
julia_peruzzini      1 Tage, 10 Stunden, 45 Minuten, 49 Sekunden                                     0
julian_leu           1 Tage, 10 Stunden, 47 Minuten, 20 Sekunden                                     0
julian_seiler        1 Tage, 10 Stunden, 45 Minuten, 13 Sekunden                                     0
julian_solanella     1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
julian_stauffer      1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
julian_styner        1 Tage, 10 Stunden, 45 Minuten, 31 Sekunden                                     0
julian_vonniederhaeu 1 Tage, 10 Stunden, 37 Minuten, 3 Sekunden                                      0
julian_wyss3         1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
julianleonardo_boegl 1 Tage, 10 Stunden, 37 Minuten, 1 Sekunden                                      0
julja_bader          1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
justin_meier         1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
justin_schuricht     1 Tage, 10 Stunden, 46 Minuten, 59 Sekunden                                     0
justina_satkunam     1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
justine_hirschi      1 Tage, 10 Stunden, 46 Minuten, 27 Sekunden                                     0
kaancan_sari         1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
kaansalih_dogan      1 Tage, 10 Stunden, 45 Minuten, 45 Sekunden                                     0
kabilan_kantheeban   1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
kadir_ebeoglu        1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
kahase_mebrahtom     1 Tage, 10 Stunden, 47 Minuten, 16 Sekunden                                     0
kaltrin_fejzuli      1 Tage, 10 Stunden, 45 Minuten, 56 Sekunden                                     0
kaltrin_rraci        1 Tage, 10 Stunden, 45 Minuten, 7 Sekunden                                      0
kaltrina_kqira       1 Tage, 10 Stunden, 47 Minuten, 22 Sekunden                                     0
kamil_chmielnicki    1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
karim_fiechter       1 Tage, 10 Stunden, 47 Minuten, 39 Sekunden                                     0
karin_kaufmann       1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
karmawoeser_kartsang 1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
kelly_ndawele        1 Tage, 10 Stunden, 45 Minuten, 58 Sekunden                                     0
kerem_yigitcan       1 Tage, 10 Stunden, 46 Minuten, 42 Sekunden                                     0
kesete_tsegay        1 Tage, 10 Stunden, 45 Minuten, 48 Sekunden                                     0
kevin_abt            1 Tage, 10 Stunden, 47 Minuten, 59 Sekunden                                     0
kevin_berki          1 Tage, 10 Stunden, 48 Minuten, 12 Sekunden                                     0
kevin_bewsher        1 Tage, 10 Stunden, 48 Minuten, 12 Sekunden                                     0
kevin_christ         1 Tage, 10 Stunden, 46 Minuten, 36 Sekunden                                     0
kevin_fuerst         1 Tage, 10 Stunden, 47 Minuten, 36 Sekunden                                     0
kevin_krasniqi       1 Tage, 10 Stunden, 46 Minuten, 33 Sekunden                                     0
kevin_luethi         1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
kevin_pfister        1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
kevin_schneider2     1 Tage, 10 Stunden, 47 Minuten, 0 Sekunden                                      0
kevin_steiner3       1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
kevin_tomaszewski    1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
kevin_weber2         1 Tage, 10 Stunden, 45 Minuten, 14 Sekunden                                     0
khadadad_akbari      1 Tage, 10 Stunden, 44 Minuten, 43 Sekunden                                     0
khalid_douch         1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
khalid_mohammed      1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
khalilhosein_haidari 1 Tage, 10 Stunden, 44 Minuten, 46 Sekunden                                     0
khandro_anga         1 Tage, 10 Stunden, 46 Minuten, 2 Sekunden                                      0
kilian_baechler      1 Tage, 10 Stunden, 46 Minuten, 11 Sekunden                                     0
kim_landolt          1 Tage, 10 Stunden, 44 Minuten, 57 Sekunden                                     0
kim_wyss             1 Tage, 10 Stunden, 45 Minuten, 54 Sekunden                                     0
kira_achermann       1 Tage, 10 Stunden, 47 Minuten, 59 Sekunden                                     0
kirusaath_thamilselv 1 Tage, 10 Stunden, 37 Minuten, 4 Sekunden                                      0
kjenan_beshiri       1 Tage, 10 Stunden, 47 Minuten, 55 Sekunden                                     0
klaudia_matic        1 Tage, 10 Stunden, 47 Minuten, 16 Sekunden                                     0
kremtim_zeka         1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
kristian_gjoklaj     1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
kristian_tasic       1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
kristina_veljancic   1 Tage, 10 Stunden, 46 Minuten, 48 Sekunden                                     0
kushtrim_ismaili     1 Tage, 10 Stunden, 45 Minuten, 35 Sekunden                                     0
kushtrim_rexhepi     1 Tage, 10 Stunden, 45 Minuten, 27 Sekunden                                     0
kyra_vonarx          1 Tage, 10 Stunden, 45 Minuten, 32 Sekunden                                     0
labiat_krasniqi      1 Tage, 10 Stunden, 44 Minuten, 53 Sekunden                                     0
labinot_shabanaj     1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
lamis_albakr         1 Tage, 10 Stunden, 46 Minuten, 23 Sekunden                                     0
lara_affolter2       1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
lara_kobler          1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
larina_lischer       1 Tage, 10 Stunden, 46 Minuten, 16 Sekunden                                     0
larissa_borer        1 Tage, 10 Stunden, 47 Minuten, 54 Sekunden                                     0
larissa_haefeli      1 Tage, 10 Stunden, 47 Minuten, 31 Sekunden                                     0
larissa_nussbaumer   1 Tage, 10 Stunden, 47 Minuten, 12 Sekunden                                     0
lars_bernhard        1 Tage, 10 Stunden, 44 Minuten, 55 Sekunden                                     0
lars_flury           1 Tage, 10 Stunden, 46 Minuten, 24 Sekunden                                     0
lars_gschwind        1 Tage, 10 Stunden, 45 Minuten, 1 Sekunden                                      0
lars_knoerr          1 Tage, 10 Stunden, 45 Minuten, 27 Sekunden                                     0
lars_krebs           1 Tage, 10 Stunden, 46 Minuten, 31 Sekunden                                     0
lars_mollet          1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
lars_oeggerli        1 Tage, 10 Stunden, 45 Minuten, 11 Sekunden                                     0
lars_rust            1 Tage, 10 Stunden, 44 Minuten, 56 Sekunden                                     0
lars_ziegler         1 Tage, 10 Stunden, 48 Minuten, 14 Sekunden                                     0
larschristian_berg   1 Tage, 10 Stunden, 47 Minuten, 55 Sekunden                                     0
laura_amorosi        1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
laura_baerlocher     1 Tage, 10 Stunden, 46 Minuten, 21 Sekunden                                     0
laura_kappler        1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
laura_stankovic      1 Tage, 10 Stunden, 46 Minuten, 19 Sekunden                                     0
laurent_bruttin      1 Tage, 10 Stunden, 47 Minuten, 52 Sekunden                                     0
laurent_haxhimehmeti 1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
laurent_shkoreti     1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
laurin_ziegler       1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
lavdrim_musliev      1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
lavdrim_veseli       1 Tage, 10 Stunden, 46 Minuten, 26 Sekunden                                     0
lea_lobrutto         1 Tage, 10 Stunden, 48 Minuten, 15 Sekunden                                     0
lea_suter2           1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
lea_zolli            1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
leajessica_dawes     1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
leander_flury        1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
leander_palm         1 Tage, 10 Stunden, 48 Minuten, 0 Sekunden                                      0
leandra_luescher     1 Tage, 10 Stunden, 47 Minuten, 18 Sekunden                                     0
leandro_ceravolo     1 Tage, 10 Stunden, 47 Minuten, 50 Sekunden                                     0
leandro_schmutz      1 Tage, 10 Stunden, 48 Minuten, 5 Sekunden                                      0
leif_sterchi         1 Tage, 10 Stunden, 48 Minuten, 16 Sekunden                                     0
lena_ritter          1 Tage, 10 Stunden, 46 Minuten, 13 Sekunden                                     0
lenasantinaelizabeth 1 Tage, 10 Stunden, 37 Minuten, 0 Sekunden                                      0
leo_girard           1 Tage, 10 Stunden, 47 Minuten, 34 Sekunden                                     0
leo_stalder          1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
leon_duppenthaler    1 Tage, 10 Stunden, 48 Minuten, 11 Sekunden                                     0
leon_hesse           1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
leon_markwalder      1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
leon_pochelon        1 Tage, 10 Stunden, 46 Minuten, 4 Sekunden                                      0
leon_rothermann      1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
leon_schmid          1 Tage, 10 Stunden, 45 Minuten, 5 Sekunden                                      0
leon_sljivic         1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
leon_spaeni          1 Tage, 10 Stunden, 46 Minuten, 56 Sekunden                                     0
leonardo_amorosi     1 Tage, 10 Stunden, 47 Minuten, 57 Sekunden                                     0
leonardo_castro      1 Tage, 10 Stunden, 47 Minuten, 51 Sekunden                                     0
leonardo_dezdari     1 Tage, 10 Stunden, 44 Minuten, 46 Sekunden                                     0
leonardo_galgano     1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
leonardo_schepp      1 Tage, 10 Stunden, 45 Minuten, 1 Sekunden                                      0
leonie_peier         1 Tage, 10 Stunden, 47 Minuten, 9 Sekunden                                      0
leonie_rueegg        1 Tage, 10 Stunden, 45 Minuten, 10 Sekunden                                     0
leonis_bajraktaraj   1 Tage, 10 Stunden, 44 Minuten, 49 Sekunden                                     0
lerint_aliu          1 Tage, 10 Stunden, 48 Minuten, 13 Sekunden                                     0
leticia_cunhabarbosa 1 Tage, 10 Stunden, 44 Minuten, 59 Sekunden                                     0
lia_digiacinto       1 Tage, 10 Stunden, 48 Minuten, 11 Sekunden                                     0
liaqatali_jusofi     1 Tage, 10 Stunden, 45 Minuten, 20 Sekunden                                     0
linard_baerel        1 Tage, 10 Stunden, 45 Minuten, 24 Sekunden                                     0
linda_alushaj        1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
lindit_ramadani      1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
lino_ziltener        1 Tage, 10 Stunden, 45 Minuten, 43 Sekunden                                     0
linus_kofmel         1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
liridon_gutaj        1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
liridon_thaqi        1 Tage, 10 Stunden, 44 Minuten, 38 Sekunden                                     0
lisa_naue            1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
livia_amiet          1 Tage, 10 Stunden, 45 Minuten, 32 Sekunden                                     0
livia_wittwer        1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
livio_donofrio       1 Tage, 10 Stunden, 47 Minuten, 42 Sekunden                                     0
livio_furrer         1 Tage, 10 Stunden, 47 Minuten, 36 Sekunden                                     0
lorena_meneguz       1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
lorenanadine_riedwyl 1 Tage, 10 Stunden, 47 Minuten, 6 Sekunden                                      0
lorenz_christen      1 Tage, 10 Stunden, 45 Minuten, 12 Sekunden                                     0
lorenz_hubler        1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
lorenz_wyss          1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
lorik_elshani        1 Tage, 10 Stunden, 45 Minuten, 55 Sekunden                                     0
loris_dietlin        1 Tage, 10 Stunden, 47 Minuten, 43 Sekunden                                     0
loris_favaro         1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
loris_marrari        1 Tage, 10 Stunden, 47 Minuten, 16 Sekunden                                     0
loris_varadin        1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
loris_vicari         1 Tage, 10 Stunden, 46 Minuten, 38 Sekunden                                     0
louay_alali          1 Tage, 10 Stunden, 47 Minuten, 58 Sekunden                                     0
louis_geser          1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
louis_liechti        1 Tage, 10 Stunden, 48 Minuten, 7 Sekunden                                      0
louisguido_fuhrmann  1 Tage, 10 Stunden, 44 Minuten, 57 Sekunden                                     0
luana_buergi         1 Tage, 10 Stunden, 47 Minuten, 52 Sekunden                                     0
luana_herzog         1 Tage, 10 Stunden, 47 Minuten, 29 Sekunden                                     0
luana_kopp           1 Tage, 10 Stunden, 46 Minuten, 4 Sekunden                                      0
luana_mueller2       1 Tage, 10 Stunden, 48 Minuten, 0 Sekunden                                      0
luca_amoroso         1 Tage, 10 Stunden, 47 Minuten, 57 Sekunden                                     0
luca_bachmann        1 Tage, 10 Stunden, 47 Minuten, 57 Sekunden                                     0
luca_berger          1 Tage, 10 Stunden, 46 Minuten, 4 Sekunden                                      0
luca_bertonazzi      1 Tage, 10 Stunden, 46 Minuten, 40 Sekunden                                     0
luca_christ          1 Tage, 10 Stunden, 47 Minuten, 50 Sekunden                                     0
luca_dantoni         1 Tage, 10 Stunden, 47 Minuten, 44 Sekunden                                     0
luca_glauser         1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
luca_huber           1 Tage, 10 Stunden, 48 Minuten, 8 Sekunden                                      0
luca_klafsky         1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
luca_marrer          1 Tage, 10 Stunden, 47 Minuten, 16 Sekunden                                     0
luca_nana            1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
luca_palmieri        1 Tage, 10 Stunden, 45 Minuten, 6 Sekunden                                      0
luca_roth            1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
luca_saitta          1 Tage, 10 Stunden, 47 Minuten, 4 Sekunden                                      0
luca_urani           1 Tage, 10 Stunden, 46 Minuten, 50 Sekunden                                     0
luca_vangeene        1 Tage, 10 Stunden, 46 Minuten, 50 Sekunden                                     0
luca_wueest          1 Tage, 10 Stunden, 46 Minuten, 43 Sekunden                                     0
lucaalessandro_nazza 1 Tage, 10 Stunden, 37 Minuten, 0 Sekunden                                      0
lucamaximilian_heck  1 Tage, 10 Stunden, 47 Minuten, 29 Sekunden                                     0
lucas_bruederli      1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
lucas_frey           1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
luis_borer           1 Tage, 10 Stunden, 46 Minuten, 33 Sekunden                                     0
luisa_lehmann        1 Tage, 10 Stunden, 46 Minuten, 20 Sekunden                                     0
luk_hess             1 Tage, 10 Stunden, 48 Minuten, 3 Sekunden                                      0
luka_jedrinovic      1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
luka_pupic           1 Tage, 10 Stunden, 45 Minuten, 0 Sekunden                                      0
lukas_baumgartner    1 Tage, 10 Stunden, 47 Minuten, 56 Sekunden                                     0
lukas_bitterli       1 Tage, 10 Stunden, 47 Minuten, 54 Sekunden                                     0
lukas_buettler       1 Tage, 10 Stunden, 47 Minuten, 51 Sekunden                                     0
lukas_demirkaya      1 Tage, 10 Stunden, 44 Minuten, 37 Sekunden                                     0
lukas_eng            1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
lukas_froehlicher2   1 Tage, 10 Stunden, 45 Minuten, 9 Sekunden                                      0
lukas_hegelbach      1 Tage, 10 Stunden, 47 Minuten, 29 Sekunden                                     0
lukas_jaeggi2        1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
lukas_krieg          1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
lukas_roschi         1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
lukas_schumacher     1 Tage, 10 Stunden, 46 Minuten, 22 Sekunden                                     0
lukas_vonarx         1 Tage, 10 Stunden, 46 Minuten, 47 Sekunden                                     0
lukas_wyss3          1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
lukas_ziegler        1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
lukas_zumbach        1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
mahtab_nazari        1 Tage, 10 Stunden, 44 Minuten, 56 Sekunden                                     0
majed_kerdy          1 Tage, 10 Stunden, 48 Minuten, 8 Sekunden                                      0
mamadououry_diallo   1 Tage, 10 Stunden, 45 Minuten, 38 Sekunden                                     0
manuel_jedrinovic    1 Tage, 10 Stunden, 45 Minuten, 25 Sekunden                                     0
manuel_kasser        1 Tage, 10 Stunden, 46 Minuten, 31 Sekunden                                     0
manuel_mariotto      1 Tage, 10 Stunden, 46 Minuten, 14 Sekunden                                     0
manuel_meister       1 Tage, 10 Stunden, 47 Minuten, 15 Sekunden                                     0
manuel_sorsche       1 Tage, 10 Stunden, 45 Minuten, 27 Sekunden                                     0
manuel_thuering      1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
manuel_vonburg       1 Tage, 10 Stunden, 46 Minuten, 47 Sekunden                                     0
manuela_haefliger    1 Tage, 10 Stunden, 45 Minuten, 15 Sekunden                                     0
mara_fuhrer          1 Tage, 10 Stunden, 45 Minuten, 11 Sekunden                                     0
mara_hagmann         1 Tage, 10 Stunden, 46 Minuten, 28 Sekunden                                     0
marc_herzig          1 Tage, 10 Stunden, 46 Minuten, 33 Sekunden                                     0
marc_holliger        1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
marc_rudischhauser   1 Tage, 10 Stunden, 45 Minuten, 22 Sekunden                                     0
marc_uebersax        1 Tage, 10 Stunden, 46 Minuten, 51 Sekunden                                     0
marcel_braun         1 Tage, 10 Stunden, 47 Minuten, 53 Sekunden                                     0
marcel_kasanga       1 Tage, 10 Stunden, 45 Minuten, 11 Sekunden                                     0
marcel_vocelka       1 Tage, 10 Stunden, 44 Minuten, 38 Sekunden                                     0
marco_allemann2      1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
marco_moser          1 Tage, 10 Stunden, 48 Minuten, 0 Sekunden                                      0
marco_rytz           1 Tage, 10 Stunden, 45 Minuten, 6 Sekunden                                      0
marco_stuedeli       1 Tage, 10 Stunden, 45 Minuten, 33 Sekunden                                     0
marco_sturzo         1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
marcoluc_baumann     1 Tage, 10 Stunden, 47 Minuten, 56 Sekunden                                     0
mariaanita_mutunga   1 Tage, 10 Stunden, 44 Minuten, 49 Sekunden                                     0
marina_ryf           1 Tage, 10 Stunden, 46 Minuten, 19 Sekunden                                     0
mario_marti          1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
mario_schuetz        1 Tage, 10 Stunden, 46 Minuten, 59 Sekunden                                     0
mariodahangeeth_wije 1 Tage, 10 Stunden, 36 Minuten, 56 Sekunden                                     0
mark_budai           1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
marko_laudanovic     1 Tage, 10 Stunden, 46 Minuten, 17 Sekunden                                     0
markus_lisser        1 Tage, 10 Stunden, 46 Minuten, 6 Sekunden                                      0
marlonjonas_graber   1 Tage, 10 Stunden, 44 Minuten, 53 Sekunden                                     0
martin_castro        1 Tage, 10 Stunden, 45 Minuten, 2 Sekunden                                      0
martina_schlaefli    1 Tage, 10 Stunden, 46 Minuten, 19 Sekunden                                     0
massimo_gelsi        1 Tage, 10 Stunden, 45 Minuten, 39 Sekunden                                     0
massimo_vezzaro      1 Tage, 10 Stunden, 46 Minuten, 32 Sekunden                                     0
mathis_randegger     1 Tage, 10 Stunden, 45 Minuten, 4 Sekunden                                      0
matteo_greco         1 Tage, 10 Stunden, 48 Minuten, 15 Sekunden                                     0
matthias_boos        1 Tage, 10 Stunden, 47 Minuten, 54 Sekunden                                     0
matthias_nussbaumer  1 Tage, 10 Stunden, 48 Minuten, 2 Sekunden                                      0
matthias_rueegsegger 1 Tage, 10 Stunden, 46 Minuten, 37 Sekunden                                     0
mattia_cerri         1 Tage, 10 Stunden, 47 Minuten, 50 Sekunden                                     0
mattia_chirico       1 Tage, 10 Stunden, 48 Minuten, 12 Sekunden                                     0
mattia_damico        1 Tage, 10 Stunden, 47 Minuten, 45 Sekunden                                     0
mattia_palermo       1 Tage, 10 Stunden, 46 Minuten, 27 Sekunden                                     0
mattia_ris           1 Tage, 10 Stunden, 48 Minuten, 15 Sekunden                                     0
mattiacarmine_magurn 1 Tage, 10 Stunden, 36 Minuten, 58 Sekunden                                     0
maurice_spaeni       1 Tage, 10 Stunden, 45 Minuten, 24 Sekunden                                     0
max_buechel          1 Tage, 10 Stunden, 45 Minuten, 57 Sekunden                                     0
max_mariotto         1 Tage, 10 Stunden, 45 Minuten, 11 Sekunden                                     0
maxime_schlittler    1 Tage, 10 Stunden, 45 Minuten, 41 Sekunden                                     0
maximilian_samoel    1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
maximilian_scheuber  1 Tage, 10 Stunden, 45 Minuten, 26 Sekunden                                     0
mayooran_mahendran   1 Tage, 10 Stunden, 45 Minuten, 47 Sekunden                                     0
medina_morina        1 Tage, 10 Stunden, 47 Minuten, 14 Sekunden                                     0
mehdi_huber          1 Tage, 10 Stunden, 45 Minuten, 40 Sekunden                                     0
mekonen_mehari       1 Tage, 10 Stunden, 45 Minuten, 48 Sekunden                                     0
mel_steiner          1 Tage, 10 Stunden, 46 Minuten, 55 Sekunden                                     0
melanie_pauli        1 Tage, 10 Stunden, 47 Minuten, 10 Sekunden                                     0
melanie_vogler       1 Tage, 10 Stunden, 45 Minuten, 37 Sekunden                                     0
melisa_basar         1 Tage, 10 Stunden, 46 Minuten, 6 Sekunden                                      0
melissa_niederberger 1 Tage, 10 Stunden, 47 Minuten, 12 Sekunden                                     0
melissa_vongunten    1 Tage, 10 Stunden, 46 Minuten, 46 Sekunden                                     0
melvin_mavely        1 Tage, 10 Stunden, 46 Minuten, 12 Sekunden                                     0
mensur_ibrahim       1 Tage, 10 Stunden, 47 Minuten, 27 Sekunden                                     0
mentor_kastrati      1 Tage, 10 Stunden, 45 Minuten, 28 Sekunden                                     0
merhawi_kahsay       1 Tage, 10 Stunden, 45 Minuten, 40 Sekunden                                     0
merhawi_mengstu      1 Tage, 10 Stunden, 44 Minuten, 42 Sekunden                                     0
meron_tesfai         1 Tage, 10 Stunden, 46 Minuten, 53 Sekunden                                     0
mete_karabulut       1 Tage, 10 Stunden, 47 Minuten, 24 Sekunden                                     0
metin_saglam         1 Tage, 10 Stunden, 48 Minuten, 4 Sekunden                                      0
metin_sen            1 Tage, 10 Stunden, 45 Minuten, 50 Sekunden                                     0
mewael_tsegay        1 Tage, 10 Stunden, 44 Minuten, 40 Sekunden                                     0
mhreteab_gebrekidan  1 Tage, 10 Stunden, 44 Minuten, 40 Sekunden                                     0
micha_lehner         1 Tage, 10 Stunden, 44 Minuten, 58 Sekunden                                     0
micha_schoepfer      1 Tage, 10 Stunden, 46 Minuten, 31 Sekunden                                     0
michael_diethelm     1 Tage, 10 Stunden, 47 Minuten, 43 Sekunden                                     0
michael_fomasi       1 Tage, 10 Stunden, 47 Minuten, 38 Sekunden                                     0
michael_jetzer       1 Tage, 10 Stunden, 47 Minuten, 26 Sekunden                                     0
michael_pearson      1 Tage, 10 Stunden, 47 Minuten, 10 Sekunden                                     0
michael_saladin      1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
michael_simic        1 Tage, 10 Stunden, 45 Minuten, 26 Sekunden                                     0
michael_vonarx       1 Tage, 10 Stunden, 46 Minuten, 47 Sekunden                                     0
michael_walter       1 Tage, 10 Stunden, 46 Minuten, 23 Sekunden                                     0
michael_ziegler      1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
michel_niederhaeuser 1 Tage, 10 Stunden, 45 Minuten, 30 Sekunden                                     0
michele_espna        1 Tage, 10 Stunden, 47 Minuten, 40 Sekunden                                     0
michele_moraschini   1 Tage, 10 Stunden, 48 Minuten, 0 Sekunden                                      0
michelle_blum        1 Tage, 10 Stunden, 46 Minuten, 0 Sekunden                                      0
michelle_carrel      1 Tage, 10 Stunden, 47 Minuten, 51 Sekunden                                     0
michelle_ciullo      1 Tage, 10 Stunden, 47 Minuten, 47 Sekunden                                     0
michelle_erni        1 Tage, 10 Stunden, 45 Minuten, 16 Sekunden                                     0
michelle_friedli     1 Tage, 10 Stunden, 46 Minuten, 39 Sekunden                                     0
michelle_kohler      1 Tage, 10 Stunden, 45 Minuten, 34 Sekunden                                     0
michelle_meyer       1 Tage, 10 Stunden, 45 Minuten, 54 Sekunden                                     0
michelle_muenger     1 Tage, 10 Stunden, 47 Minuten, 13 Sekunden                                     0
michelle_stuber      1 Tage, 10 Stunden, 46 Minuten, 54 Sekunden                                     0
michellevanessa_more 1 Tage, 10 Stunden, 36 Minuten, 58 Sekunden                                     0
miguel_schaller      1 Tage, 10 Stunden, 47 Minuten, 3 Sekunden                                      0
mihael_ukaj          1 Tage, 10 Stunden, 45 Minuten, 51 Sekunden                                     0
mihone_hasani        1 Tage, 10 Stunden, 44 Minuten, 55 Sekunden                                     0
mikail_kurt          1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
mike_barrer          1 Tage, 10 Stunden, 47 Minuten, 56 Sekunden                                     0
mike_hess            1 Tage, 10 Stunden, 47 Minuten, 28 Sekunden                                     0
mike_kaufmann        1 Tage, 10 Stunden, 46 Minuten, 29 Sekunden                                     0
mike_luethi          1 Tage, 10 Stunden, 47 Minuten, 17 Sekunden                                     0
mike_mosimann        1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
mike_rado            1 Tage, 10 Stunden, 45 Minuten, 53 Sekunden                                     0
mike_roeoesli        1 Tage, 10 Stunden, 47 Minuten, 5 Sekunden                                      0
mike_sandmeier       1 Tage, 10 Stunden, 45 Minuten, 19 Sekunden                                     0
mike_singer          1 Tage, 10 Stunden, 46 Minuten, 57 Sekunden                                     0
mike_ziegler         1 Tage, 10 Stunden, 46 Minuten, 41 Sekunden                                     0
milena_lazarevic     1 Tage, 10 Stunden, 45 Minuten, 59 Sekunden                                     0
milenko_knezevic     1 Tage, 10 Stunden, 45 Minuten, 42 Sekunden                                     0
million_fessehaye    1 Tage, 10 Stunden, 45 Minuten, 47 Sekunden                                     0
miodrag_vidojevic    1 Tage, 10 Stunden, 46 Minuten, 48 Sekunden                                     0
mirja_vonrohr        1 Tage, 10 Stunden, 45 Minuten, 54 Sekunden                                     0
mirjam_leuenberger   1 Tage, 10 Stunden, 46 Minuten, 3 Sekunden                                      0
mirjam_michel        1 Tage, 10 Stunden, 46 Minuten, 25 Sekunden                                     0
